businessid,name,address,city,state,zip
10727,The Redhead,349 E 13th St,New York,NY,10003
10728,Austin s Habibi,817 W 5th St,Austin,TX,78703
10729,B OK Locksmith,74 794 42nd Ave Unit  10,Palm Desert,CA,92260
10731,Jing Fong Restaurant,20 Elizabeth Street,New York,NY,10013
10732,House of Bites,7094 Miramar Rd,San Diego,CA,92121
10733,Oriental City,601 Donald Lynch Blvd Unit 4220,Marlborough,MA,1752
10734,Dragon Express,2834 A Randleman Rd,Greensboro,NC,27406
10735,Sea Bar Restaurant,140 N 10th St ,Philadelphia,PA,19107
10736,Kabab Bites,369 Broome St,New York,NY,10013
10737,Tulips Indian Cuisine,9311 Jw Clay Blvd,Charlotte,NC,28262
10738,Cafe Dominican,4650 Jimmy Carter Blvd Ste 119,Norcross,GA,30093
10739,North Beach Pizza,1598 University Avenue,Berkeley,CA,94703
10740,Himalayan Tandoori and Curry,1645 Solano Ave,Berkeley,CA,94707
10742,El Patio Mexican Restaurant,693 N 13 St,San Jose,CA,95112
10743,Spice of Thai,690 Holcomb Bridge Rd,Roswell,GA,30076
10744,Old Ironsides Cafe,4655 Old Ironsides Dr,Santa Clara,CA,95054
10745,New York Pizza San Jose,1190 Hillsdale Ave,San Jose,CA,95118
10746,La Estretllita Cafe,446 E 12th St,Oakland,CA,94606
10747,Quetzal Taqueria and Antojitos,3045 Cutting Blvd,Richmond,CA,94804
10748,Spettro,3355 Lakeshore Ave,Oakland,CA,94610
10749,Urfa Tomato Kabob,467 Florida Ave NW,Washington,DC,20001
10750,Yorkshire Restaurant,7537 Centreville Rd,Manassas,VA,20111
10751,Nicos Hideaway,1508 Walnut Street,Berkeley,CA,94709
10752,Ethiopia Restaurant,2955 Telegraph Ave,Berkeley,CA,94705
10753,Pyramids Restaurant and Grill,3100 High St,Oakland,CA,94619
10754,Big Mommas Kitchen,4929 International Boulevard,Oakland,CA,94601
10755,Tony and Angelo s White House Pizza,1501 Philadelphia Ave,Ocean City,MD,21842
10756,Joey Thai,338 Bloomfield Ave,Montclair,NJ,7042
10757,Pho Xe Lua,1021 W Argyle St,Chicago,IL,60640
10758,Hello Sweetie,2200 S Austin Ave,Georgetown,TX,78626
10759,Grace Noodle,1823 E Main St,Richmond,VA,23223
10760,Va Bene Italian Restaurant,4647 E Chandler Blvd,Phoenix,AZ,85048
10761,Pour Sports Bar  Grill,832 SE Grand Ave,Portland,OR,97214
10762,Maria Bonita s Cantina  Grill,7741 Colony Rd,Charlotte,NC,28226
